[2026-01-29 06:51:58 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:51:58 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:51:59 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:51:59 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:52:27 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:52:27 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:52:28 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:52:28 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:52:39 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:52:39 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:52:39 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:52:39 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:53:29 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:53:29 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:53:30 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:53:30 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:53:47 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:53:47 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 06:53:48 : INFO] - Cache for URL: https://www.depannagepcgard.fr/creation-de-site-web/ has been purged, triggered by action: save_post 
[2026-01-29 06:53:48 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Création de site web" has been purged, triggered by action: save_post 
[2026-01-29 09:16:35 : INFO] - Cache for URL: https://www.depannagepcgard.fr/ has been purged, triggered by action: save_post 
[2026-01-29 09:16:35 : INFO] - Cache for author page URL: https://www.depannagepcgard.fr/author/admin9108/ associated with post_type: page and Title: "Accueil" has been purged, triggered by action: save_post 
